,Survey Year,Timestamp,SalaryUSD,Country,PostalCode,PrimaryDatabase,YearsWithThisDatabase,OtherDatabases,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,CompanyEmployeesOverall,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,TelecommuteDaysPerWeek,PopulationOfLargestCityWithin20Miles,EmploymentSector,LookingForAnotherJob,CareerPlansThisYear,Gender,OtherJobDuties,KindsOfTasksPerformed,Counter
5227,2018,2017-12-21 03:48:30.583,95000.0,New Zealand,,Microsoft SQL Server,15,"Microsoft SQL Server, Azure SQL DB, Amazon RDS (any flavor)",Full time employee,Architect,Yes,7,Not Asked,3,Not Asked,200,Bachelors (4 years),No,"Yes, and they're currently valid",35,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,"DBA (Development Focus - tunes queries, indexes, does deployments), DBA (Production Focus - build & troubleshoot servers, HA/DR), DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers)","Build scripts & automation tools, Meetings & management, Projects, R&D, Training/teaching",1
6016,2019,2018-12-11 06:26:43.382,70000.0,Sweden,,Microsoft SQL Server,15,"Microsoft SQL Server, MongoDB, Redis, Elasticsearch, Azure SQL DB",Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,10,5,5,1000 or more,1000,Masters,Yes,"Yes, but they expired",38,"None, or less than 1 day per week",300K-1M (large city),Private business,"Yes, but only passively (just curious)",Change both employers and roles,Male,,,1
2603,2017,2017-01-10 11:57:40.659,67000.0,United States,Not Asked,Microsoft SQL Server,10,,Full time employee,Developer: T-SQL,No,7,Not Asked,3,Not Asked,10,Bachelors (4 years),Yes,"No, I never have",48,"None, or less than 1 day per week",Not Asked,Local government,"Yes, actively looking for something else",Not Asked,Not Asked,Not Asked,Not Asked,1
5721,2018,2017-12-29 15:04:52.541,85000.0,United States,7072,Microsoft SQL Server,5,,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,Not Asked,None,Not Asked,3,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Private business,No,"Stay with the same employer, same role",Male,,"On-call 24/7/365, Projects",1
6043,2019,2018-12-11 07:03:09.147,71000.0,Germany,53,Microsoft SQL Server,5,PostgreSQL,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,0,1 (this is the only company where I've had this kind of position),More than 5,6-99,40,Masters,No,"No, I never have",45,1,100K-299K (city),Private business,No,Prefer not to say,Male,Architect,"Build scripts & automation tools, R&D",1
3100,2018,2017-12-12 11:24:35.640,122000.0,United States,49009,Microsoft SQL Server,15,Microsoft Access,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,15,Not Asked,None,Not Asked,8,Bachelors (4 years),Yes,"Yes, but they expired",45,1,Not Asked,Private business,No,"Stay with the same employer, same role",Prefer not to say,"Architect, DBA (Development Focus - tunes queries, indexes, does deployments)",Projects,1
5882,2018,2018-01-02 16:09:25.349,65000.0,United States,92308,Microsoft SQL Server,8,"MySQL/MariaDB, PostgreSQL, SQLite",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,5,Not Asked,None,Not Asked,3,None (no degree completed),,"No, I never have",45,"None, or less than 1 day per week",Not Asked,"Education (K-12, college, university)","Yes, actively looking for something else",Change both employers and roles,Male,"Analyst, Architect, Data Scientist, Developer: App code (C#, JS, etc), Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL, Engineer, Manager","Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D, Training/teaching",1
1780,2017,2017-01-09 03:20:09.221,32000.0,Netherlands,Not Asked,Microsoft SQL Server,3,,Full time employee,DBA,Yes,3,Not Asked,1,Not Asked,83,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
6622,2019,2018-12-22 05:07:11.390,90000.0,United States,60606,Microsoft SQL Server,4,Microsoft Access,Full time employee,Developer: T-SQL,No,4,1 (this is the only company where I've had this kind of position),2,1000 or more,8,Bachelors (4 years),No,"No, I never have",45,"None, or less than 1 day per week",1M+ (metropolis),Private business,No,"Stay with the same employer, same role",Male,"Analyst, Architect, Data Scientist, Engineer","Build scripts & automation tools, Manual tasks, Meetings & management, Projects",1
803,2017,2017-01-05 13:22:31.457,77200.0,Canada,Not Asked,Microsoft SQL Server,13,,Full time employee,Engineer,No,2,Not Asked,1,Not Asked,7,Masters,,"Yes, but they expired",40,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
857,2017,2017-01-05 13:48:18.501,150000.0,Norway,Not Asked,Microsoft SQL Server,15,,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,10,Not Asked,2,Not Asked,20,Masters,Yes,"Yes, and they're currently valid",50,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
6788,2019,2018-12-30 10:53:02.471,108000.0,Canada,T6x0w2,Microsoft SQL Server,15,Oracle,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,3,5,2,500-999,150,Masters,Yes,"Yes, and they're currently valid",37,"None, or less than 1 day per week",300K-1M (large city),Local government,"Yes, but only passively (just curious)","Stay with the same role, but change employers",Male,"DBA (Development Focus - tunes queries, indexes, does deployments)",Manual tasks,1
3248,2018,2017-12-12 11:55:06.037,97335.0,United States,55101,Microsoft SQL Server,6,"Microsoft SQL Server, Oracle, MySQL/MariaDB, Microsoft Access",Full time employee,Analyst,No,5,Not Asked,3,Not Asked,12,Bachelors (4 years),No,"No, I never have",40,1,Not Asked,State/province government,No,"Stay with the same employer,  but change roles",Male,"Analyst, Architect, DBA (Development Focus - tunes queries, indexes, does deployments), Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL","Build scripts & automation tools, Manual tasks, Meetings & management, Projects, Training/teaching",1
4855,2018,2017-12-20 11:14:41.181,92000.0,United States,,Microsoft SQL Server,5,Oracle,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,2,Not Asked,More than 5,Not Asked,10,Associates (2 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Change both employers and roles,Male,"DBA (Development Focus - tunes queries, indexes, does deployments)",,1
219,2017,2017-01-05 10:42:33.534,14000.0,India,Not Asked,Microsoft SQL Server,1,Microsoft SQL Server,Full time employee,DBA,No,1,Not Asked,2,Not Asked,1130,Masters,Yes,"No, I never have",45,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
1288,2017,2017-01-06 06:41:26.161,95000.0,United States,Not Asked,Microsoft SQL Server,18,"Oracle, Microsoft Access, Azure SQL DB",Full time employee,DBA,No,16,Not Asked,1,Not Asked,5,Bachelors (4 years),No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
582,2017,2017-01-05 11:52:50.312,87360.0,United States,Not Asked,Microsoft SQL Server,10,,Independent or freelancer or company owner,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,10,Not Asked,None,Not Asked,1,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
43,2017,2017-01-05 07:53:17.665,120000.0,United States,Not Asked,Microsoft SQL Server,7,"Microsoft SQL Server, Microsoft Access",Full time employee,DBA,No,7,Not Asked,2,Not Asked,10,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,1,Not Asked,Federal government,No,Not Asked,Not Asked,Not Asked,Not Asked,1
1234,2017,2017-01-06 03:29:31.980,80000.0,Australia,Not Asked,Microsoft SQL Server,10,,Full time employee,Developer: T-SQL,No,2,Not Asked,None,Not Asked,2,Associates (2 years),,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2549,2017,2017-01-10 07:53:40.966,135000.0,United States,Not Asked,Microsoft SQL Server,10,"Redis, Elasticsearch",Full time employee,Architect,No,5,Not Asked,None,Not Asked,20,Bachelors (4 years),Yes,"Yes, but they expired",45,2,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
6671,2019,2018-12-22 12:13:50.187,85000.0,Norway,,Microsoft SQL Server,10,"Oracle, MySQL/MariaDB, PostgreSQL, MongoDB, Azure SQL DB",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,16,3,1,1000 or more,90,None (no degree completed),,"No, I never have",45,1,300K-1M (large city),Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,"Architect, DBA (Production Focus - build & troubleshoot servers, HA/DR), DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers)","Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D, Training/teaching",1
1892,2017,2017-01-09 08:12:46.567,110000.0,United States,Not Asked,Microsoft SQL Server,16,"Microsoft Access, Redis, SQLite",Full time employee,DBA,No,16,Not Asked,None,Not Asked,20,Bachelors (4 years),No,"Yes, but they expired",47,1,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
6029,2019,2018-12-11 06:46:37.570,115000.0,United States,11225,Microsoft SQL Server,6,Azure SQL DB,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",Yes,6,4,None,1000 or more,250,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,1,1M+ (metropolis),Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,"DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: T-SQL","Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D",1
3752,2018,2017-12-14 12:42:11.520,100000.0,United States,190,Microsoft SQL Server,15,,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,Not Asked,1,Not Asked,12,Bachelors (4 years),Yes,"No, I never have",50,5 or more,Not Asked,Private business,No,"Stay with the same employer, same role",Female,"Developer: Business Intelligence (SSRS, PowerBI, etc)","Build scripts & automation tools, Manual tasks, On-call 24/7/365",1
6541,2019,2018-12-21 17:15:51.747,53860.0,United Kingdom,EN8 0JU,Microsoft SQL Server,5,"PostgreSQL, SAP",Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,5,1 (this is the only company where I've had this kind of position),None,1000 or more,7,Bachelors (4 years),No,"No, I never have",42,"None, or less than 1 day per week",20K-99K (large town),Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,Analyst,"Manual tasks, On-call 24/7/365, Projects, R&D",1
1071,2017,2017-01-05 18:16:46.045,55000.0,Australia,Not Asked,Microsoft SQL Server,3,SAP,Full time employee,"Developer: App code (C#, JS, etc)",No,3,Not Asked,4,Not Asked,2,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
718,2017,2017-01-05 12:41:51.919,84000.0,United States,Not Asked,PostgreSQL,3,Microsoft SQL Server,Full time employee,DBA,No,3,Not Asked,4,Not Asked,50,Bachelors (4 years),No,"Yes, but they expired",45,"None, or less than 1 day per week",Not Asked,Local government,"Yes, actively looking for something else",Not Asked,Not Asked,Not Asked,Not Asked,1
1505,2017,2017-01-06 15:58:17.962,165000.0,United States,Not Asked,Microsoft SQL Server,8,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, MongoDB, DB2, Microsoft Access, Redis, SQLite, Amazon RDS (any flavor), neo4j",Full time employee of a consulting/contracting company,Manager,Yes,4,Not Asked,None,Not Asked,300,Bachelors (4 years),No,"Yes, and they're currently valid",45,1,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
670,2017,2017-01-05 12:20:00.735,110000.0,United States,Not Asked,Microsoft SQL Server,8,,Full time employee,Architect,No,5,Not Asked,1,Not Asked,120,Masters,Yes,"Yes, but they expired",40,3,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
6200,2019,2018-12-11 12:50:54.209,180000.0,Belgium,,Microsoft SQL Server,10,"MongoDB, SQLite","Independent consultant, contractor, freelancer,  or company owner","DBA (Production Focus - build & troubleshoot servers, HA/DR)",Yes,10,2 (I worked at another similar position elsewhere before this one),1,1000 or more,12,None (no degree completed),,"No, I never have",40,1,300K-1M (large city),Private business,No,"Stay with the same employer,  but change roles",Male,"Architect, DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: Business Intelligence (SSRS, PowerBI, etc), Engineer","Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D, Training/teaching",1
5238,2018,2017-12-21 05:36:43.119,58000.0,Sweden,,Microsoft SQL Server,2,Azure SQL DB,Full time employee of a consulting/contracting company,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,2,Not Asked,More than 5,Not Asked,20,None (no degree completed),,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,No,"Stay with the same employer, same role",Male,"DBA (Development Focus - tunes queries, indexes, does deployments), DBA (Production Focus - build & troubleshoot servers, HA/DR), DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers)","Manual tasks, On-call as part of a rotation, Projects",1
897,2017,2017-01-05 14:15:53.368,26300.0,Mexico,Not Asked,Azure SQL DB,3,"Microsoft SQL Server, MongoDB, Microsoft Access, Redis, Azure SQL DB, Azure Data Lake",Full time employee of a consulting/contracting company,Developer: T-SQL,No,1,Not Asked,4,Not Asked,3,Bachelors (4 years),Yes,"No, I never have",35,1,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
5546,2018,2017-12-26 13:55:11.033,85000.0,United States,84790,Microsoft SQL Server,8,"PostgreSQL, Azure SQL DB",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,4,Not Asked,None,Not Asked,5,None (no degree completed),,"No, I never have",48,"None, or less than 1 day per week",Not Asked,Private business,No,"Stay with the same employer, same role",Male,"Architect, Engineer, Manager","Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D, Training/teaching",1
3892,2018,2017-12-16 18:18:19.728,90000.0,United States,32202,Microsoft Access,15,Microsoft SQL Server,Full time employee,Developer: T-SQL,No,15,Not Asked,3,Not Asked,0,Bachelors (4 years),No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, actively looking for something else",Change both employers and roles,Male,"Developer: App code (C#, JS, etc)","Build scripts & automation tools, Projects",1
3931,2018,2017-12-18 03:39:26.596,50000.0,Netherlands,,Microsoft SQL Server,1,"MongoDB, Microsoft Access, Azure SQL DB",Full time employee of a consulting/contracting company,"Developer: App code (C#, JS, etc)",No,7,Not Asked,None,Not Asked,4,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Private business,No,"Stay with the same employer, same role",Male,"Architect, DBA (Development Focus - tunes queries, indexes, does deployments), Developer: T-SQL","Manual tasks, Meetings & management, Projects",1
4060,2018,2017-12-18 13:07:17.234,125000.0,United States,762,Microsoft SQL Server,18,"Microsoft SQL Server, Microsoft Access",Full time employee of a consulting/contracting company,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,5,Not Asked,More than 5,Not Asked,250,Bachelors (4 years),No,"Yes, but they expired",40,5 or more,Not Asked,Private business,No,"Stay with the same employer, same role",Male,,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365",1
5502,2018,2017-12-26 11:42:24.978,110000.0,United States,78701,Microsoft SQL Server,5,"Microsoft SQL Server, Oracle",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,5,Not Asked,1,Not Asked,100,None (no degree completed),,"No, I never have",40,1,Not Asked,Local government,No,"Stay with the same employer, same role",Male,,"On-call as part of a rotation, Projects",1
2921,2018,2017-12-11 09:36:55.797,18000.0,Brazil,2553000,Microsoft SQL Server,7,Microsoft SQL Server,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,Not Asked,1,Not Asked,48,Associates (2 years),No,"Yes, and they're currently valid",40,1,Not Asked,Private business,"Yes, actively looking for something else","Stay with the same role, but change employers",Male,,"Build scripts & automation tools, Manual tasks, On-call as part of a rotation",1
2704,2017,2017-01-11 11:28:02.651,71500.0,United States,Not Asked,Microsoft SQL Server,10,,Full time employee,DBA,Yes,1,Not Asked,1,Not Asked,12,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Local government,No,Not Asked,Not Asked,Not Asked,Not Asked,1
6097,2019,2018-12-11 09:19:47.530,82000.0,United States,18104,MySQL/MariaDB,5,"Microsoft SQL Server, Oracle, PostgreSQL",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,2,1 (this is the only company where I've had this kind of position),5,1000 or more,2000,None (no degree completed),,"Yes, and they're currently valid",50,5 or more,100K-299K (city),Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects",1
4582,2018,2017-12-20 08:20:06.519,57000.0,Belgium,,Microsoft SQL Server,12,MySQL/MariaDB,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,12,Not Asked,None,Not Asked,8,Masters,No,"No, I never have",38,"None, or less than 1 day per week",Not Asked,Non-profit,No,"Stay with the same employer, same role",Male,"Analyst, Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL","Build scripts & automation tools, Manual tasks, Projects",1
5252,2018,2017-12-21 07:22:14.552,96000.0,United States,37204,Microsoft SQL Server,8,,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,8,Not Asked,None,Not Asked,4,Masters,Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Not Asked,"Education (K-12, college, university)",No,"Stay with the same role, but change employers",Male,"DBA (Development Focus - tunes queries, indexes, does deployments), Developer: Business Intelligence (SSRS, PowerBI, etc), Developer: T-SQL","Build scripts & automation tools, Manual tasks",1
1874,2017,2017-01-09 08:10:07.567,98000.0,United States,Not Asked,Microsoft SQL Server,18,,Full time employee,Other,No,18,Not Asked,None,Not Asked,100,Bachelors (4 years),No,"Yes, but they expired",45,1,Not Asked,Local government,No,Not Asked,Not Asked,Not Asked,Not Asked,1
1769,2017,2017-01-09 03:11:07.926,100000.0,United Kingdom,Not Asked,Microsoft SQL Server,7,"Oracle, PostgreSQL, MongoDB, Microsoft Access, SAP, Azure SQL DB",Independent or freelancer or company owner,DBA,No,2,Not Asked,None,Not Asked,100,None (no degree completed),,"Yes, but they expired",60,"None, or less than 1 day per week",Not Asked,Federal government,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
5537,2018,2017-12-26 13:18:57.142,95000.0,United States,4112,Microsoft SQL Server,18,MySQL/MariaDB,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,15,Not Asked,3,Not Asked,40,Bachelors (4 years),Yes,"No, I never have",43,"None, or less than 1 day per week",Not Asked,Private business,No,"Stay with the same employer, same role",Female,,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D",1
2850,2017,2017-01-13 12:40:58.124,77000.0,United States,Not Asked,Microsoft SQL Server,5,,Full time employee,DBA,No,5,Not Asked,None,Not Asked,20,Bachelors (4 years),Yes,"No, I never have",50,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
1983,2017,2017-01-09 09:04:32.422,130000.0,United States,Not Asked,Microsoft SQL Server,15,"Microsoft SQL Server, PostgreSQL, DB2, Microsoft Access",Full time employee,Architect,Yes,10,Not Asked,None,Not Asked,20,Bachelors (4 years),Yes,"Yes, but they expired",50,1,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
531,2017,2017-01-05 11:40:59.316,119000.0,United States,Not Asked,Microsoft SQL Server,17,,Full time employee,DBA,Yes,4,Not Asked,1,Not Asked,32,None (no degree completed),,"No, I never have",45,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
4071,2018,2017-12-18 13:33:38.860,61000.0,United States,85711,Microsoft SQL Server,4,,Full time employee,Data Scientist,Yes,1,Not Asked,None,Not Asked,1,Masters,No,"No, I never have",35,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,Analyst,"Build scripts & automation tools, Manual tasks, Projects, R&D, Training/teaching",1
